Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20
2015-01-05,545.43000,549.22000,543.78000,544.45000,95950.00000,-0.00220,,,,,,,,,,,,95950.00000
2015-01-06,539.08000,550.11000,538.82000,549.66000,112320.00000,0.00960,,,,,,,,,,0.00957,,104135.00000
2015-01-07,548.44000,555.83000,548.44000,552.05000,111710.00000,0.00430,,,,,,,,,,0.00435,,106660.00000
2015-01-08,553.49000,556.80000,552.15000,553.47000,77870.00000,0.00260,,,,,,,,,,0.00257,,99462.50000
2015-01-09,555.53000,570.52000,555.53000,569.73000,107480.00000,0.02940,,,,,,,,,,0.02938,,101066.00000
2015-01-12,575.86000,579.73000,574.07000,574.32000,134930.00000,0.00810,,,,,,,,,,0.00806,0.05486,106710.00000
2015-01-13,573.26000,580.65000,573.26000,580.60000,111670.00000,0.01090,,,,,,,,,,0.01093,0.05629,107418.57143
2015-01-14,579.77000,582.21000,571.67000,577.01000,108940.00000,-0.00620,,,,,,,,,,-0.00618,0.04521,107608.75000
2015-01-15,577.01000,581.24000,575.36000,577.74000,120100.00000,0.00130,,,,,,,,,,0.00127,0.04385,108996.66667
2015-01-16,576.88000,578.51000,574.08000,574.81000,106680.00000,-0.00510,,,,,,,,,,-0.00507,0.00892,108765.00000
2015-01-19,576.50000,579.06000,570.10000,571.51000,88380.00000,-0.00570,,,,,,,,,,-0.00574,-0.00489,106911.81818
2015-01-20,570.78000,574.96000,570.14000,572.22000,79460.00000,0.00120,,,,,,,,,,0.00124,-0.01443,104624.16667
2015-01-21,573.54000,574.41000,569.12000,569.12000,83040.00000,-0.00540,,,,,,,,,,-0.00542,-0.01367,102963.84615
2015-01-22,569.74000,576.48000,567.82000,574.54000,83830.00000,0.00950,,,,,,,,,,0.00952,-0.00554,101597.14286
2015-01-23,578.22000,583.57000,577.57000,582.38000,184120.00000,0.01360,,,,,,,,,76.99782,0.01365,0.01317,107098.66667
2015-01-26,584.89000,586.76000,580.64000,580.64000,139910.00000,-0.00300,,,,,,,,,73.58241,-0.00299,0.01598,109149.37500
2015-01-27,580.45000,584.28000,575.50000,579.30000,157540.00000,-0.00230,,,,,,,,,70.97153,-0.00231,0.01237,111995.88235
2015-01-28,579.56000,584.35000,578.59000,583.76000,113560.00000,0.00770,,,,,,,,,74.24688,0.00770,0.02572,112082.77778
2015-01-29,584.18000,585.66000,580.37000,583.28000,109680.00000,-0.00080,,,,,,,,,73.28845,-0.00082,0.01521,111956.31579
2015-01-30,584.08000,584.08000,574.46000,576.07000,102200.00000,-0.01240,8.09506,548.20811,571.33300,0.60242,594.45789,571.33300,,,60.62836,-0.01236,-0.01083,111468.50000
2015-02-02,576.07000,579.73000,570.37000,570.37000,85070.00000,-0.00990,6.84142,553.04104,572.62900,0.44234,592.21696,571.24129,,,52.85495,-0.00989,-0.01769,110924.50000
2015-02-03,572.56000,574.83000,557.47000,557.47000,96960.00000,-0.02260,6.27788,555.03277,573.01950,0.06775,591.00623,569.92973,,,40.27077,-0.02262,-0.03768,110156.50000
2015-02-04,556.93000,561.69000,553.21000,561.45000,100170.00000,0.00710,5.63912,557.31961,573.48950,0.12772,589.65939,569.12214,,,44.64941,0.00714,-0.03822,109579.50000
2015-02-05,562.17000,568.22000,562.05000,567.17000,78740.00000,0.01020,4.76863,560.48437,574.17450,0.24418,587.86463,568.93622,,,50.28965,0.01019,-0.02762,109623.00000
2015-02-06,569.03000,574.36000,569.03000,574.13000,64280.00000,0.01230,4.71381,560.85656,574.39450,0.49023,587.93244,569.43087,,,56.14546,0.01227,-0.00337,107463.00000
2015-02-09,574.06000,577.04000,572.79000,573.55000,71320.00000,-0.00100,4.71587,560.81305,574.35600,0.47024,587.89895,569.82317,,,55.55812,-0.00101,0.00558,104282.50000
2015-02-10,575.74000,578.42000,574.24000,574.52000,73830.00000,0.00170,4.61219,560.81381,574.05200,0.51768,587.29019,570.27048,,,56.37997,0.00169,0.03058,102390.50000
2015-02-11,574.88000,581.76000,574.88000,581.76000,77500.00000,0.01260,4.73880,560.68227,574.28950,0.77450,587.89673,571.36472,,,62.02479,0.01260,0.03617,100818.50000
2015-02-12,582.52000,584.99000,581.86000,584.67000,82990.00000,0.00500,4.96922,560.35853,574.63600,0.85139,588.91347,572.63189,,,64.03914,0.00500,0.03085,98963.00000
2015-02-13,586.26000,589.02000,585.60000,587.24000,73840.00000,0.00440,5.31910,559.95824,575.25750,0.89160,590.55676,574.02314,,,65.76622,0.00440,0.02283,97321.00000
2015-02-24,590.18000,596.95000,589.74000,596.95000,62890.00000,0.01650,6.19492,558.67174,576.52950,1.07175,594.38726,576.20665,,,71.36239,0.01653,0.04080,96046.50000
2015-02-25,596.90000,601.55000,592.66000,592.66000,99240.00000,-0.00720,6.59812,558.49774,577.55150,0.89647,596.60526,577.77364,,,66.21249,-0.00719,0.03157,97035.50000
2015-02-26,593.95000,597.07000,591.78000,596.72000,89940.00000,0.00690,7.03506,558.56740,578.93150,0.93676,599.29560,579.57805,,,68.52731,0.00685,0.02572,97380.50000
2015-02-27,598.00000,598.40000,590.58000,592.57000,78310.00000,-0.00700,7.27453,558.74295,579.83300,0.80197,600.92305,580.81538,,,63.72164,-0.00695,0.01351,97104.50000
2015-03-02,591.75000,593.72000,588.59000,590.73000,86660.00000,-0.00310,7.44494,558.65086,580.25050,0.74259,601.85014,581.75963,,,61.65708,-0.00311,0.00594,92231.50000
2015-03-03,590.42000,597.45000,590.42000,596.72000,112830.00000,0.01010,7.83524,558.29099,581.05450,0.84409,603.81801,583.18443,,,65.56814,0.01014,-0.00039,90877.50000
2015-03-04,598.49000,600.69000,595.34000,600.39000,120520.00000,0.00620,8.33052,557.86263,582.10900,0.87698,606.35537,584.82305,,,67.73937,0.00615,0.01304,89026.50000
2015-03-05,601.08000,602.40000,596.75000,596.91000,134360.00000,-0.00580,8.61009,557.67814,582.76650,0.78187,607.85486,585.97419,,,63.64127,-0.00580,0.00032,90066.50000
2015-03-06,596.42000,598.33000,592.71000,593.97000,101680.00000,-0.00490,8.76405,557.74060,583.30100,0.70870,608.86140,586.73570,,,60.32108,-0.00493,0.00236,89666.50000
2015-03-09,594.08000,596.32000,587.27000,588.44000,98830.00000,-0.00930,8.70972,558.49062,583.91950,0.58889,609.34838,586.89801,,,54.55571,-0.00931,-0.00388,89498.00000
2015-03-10,586.38000,591.17000,586.38000,589.66000,105170.00000,0.00210,8.46472,560.12961,584.88400,0.59647,609.63839,587.16106,,,55.56474,0.00207,-0.01183,90503.00000
2015-03-11,589.04000,590.56000,586.49000,586.54000,86320.00000,-0.00530,7.27250,565.01680,586.33750,0.50475,607.65820,587.10191,,,52.36270,-0.00529,-0.02307,89971.00000
2015-03-12,585.89000,589.67000,585.48000,588.53000,82740.00000,0.00340,6.12872,569.68253,587.69150,0.52328,605.70047,587.23792,,,54.17654,0.00339,-0.01404,89099.50000
2015-03-13,589.04000,591.75000,586.10000,586.10000,97280.00000,-0.00410,5.23087,573.24256,588.63800,0.41757,604.03344,587.12954,,,51.59319,-0.00413,-0.01325,90026.50000
2015-03-16,583.26000,586.19000,580.55000,580.80000,100540.00000,-0.00900,4.88286,574.59217,588.97150,0.21586,603.35083,586.52673,,,46.39668,-0.00904,-0.01298,91839.50000
2015-03-17,580.60000,583.59000,580.60000,581.76000,105060.00000,0.00170,4.41046,576.38478,589.38200,0.20678,602.37922,586.07276,,,47.42954,0.00165,-0.01340,93526.50000
2015-03-18,580.81000,581.53000,577.26000,578.68000,108040.00000,-0.00530,4.11960,577.44564,589.59000,0.05082,601.73436,585.36868,,,44.46900,-0.00529,-0.01340,95237.00000
